ID,Name,Address,Combined ,Lat,Long
86,Meridian Jr. High School,123rd Avenue SE and SE 236th Street Kent WA 98031,"47.39102827696295, -122.17785203515868",47.39102828,-122.177852
87,,,,,
88,,,,,
89,,,,,
90,Mirrormont Park,256th Ave SE and SE 152nd St Issaquah WA 98027,"47.46584635778231, -121.99814608848371",47.46584636,-121.9981461
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,North Green River Park,Green River Rd S and SE 268th Kent WA 98031,"47.36293855282889, -122.21690652526206",47.36293855,-122.2169065
97,,,,,
98,North Meridian Park,SE 231st and 120th Ave SE Kent WA 98058,"47.39472304994651, -122.18139270197861",47.39472305,-122.1813927
99,Northshore Athletic Fields,14600 NE 145th St Woodinville WA 98072,"47.73307299706574, -122.14695518847383",47.733073,-122.1469552
100,North Shorewood Park,SW 102nd St and 24th Ave SW Seattle WA 98146,"47.51201939207638, -122.36309972895894",47.51201939,-122.3630997
101,Novelty Hill Little League Fields,228th Ave NE and NE Novelty Hill Rd Redmond WA 98053,"47.69656990315423, -122.03455263754783",47.6965699,-122.0345526
102,,,,,
103,,,,,
104,Park Orchard Park,11058 SE 230th St Kent WA 98058,"47.39689992828539, -122.19333928029793",47.39689993,-122.1933393
105,,,,,
106,,,,,
107,Petrovitsky Park,16400 Petrovitsky Rd SE Renton WA 98058,"47.44132678931009, -122.11973099033585",47.44132679,-122.119731
108,,,,,
109,Pinnacle Peak Park,SE 276th and 472nd SE Enumclaw WA 98022,"47.17843003380801, -121.97306864114628",47.17843003,-121.9730686
110,,,,,
111,Preston Athletic Fields,Preston Fall City Rd SE and SE 87th Pl Preston WA 98027,"47.52266659904139, -121.93440892895862",47.5226666,-121.9344089
112,Preston Mill,Preston Fall City Rd SE and SE 86th St Preston WA 98027,"47.524068778837794, -121.92740617313792",47.52406878,-121.9274062
113,Preston Park,8625 310th Ave SE Preston WA 98024,"47.52362482078712, -121.92909324245097",47.52362482,-121.9290932
114,Preston Ridge Park,"SE High Point Way, North of SE 82nd St Preston WA 98027","47.52325520077826, -121.93468404090818",47.5232552,-121.934684
115,,,,,
116,,,,,
117,Quigley Park,33512 SE Redmond-Fall City Rd Fall City WA 98024,"47.568923532491226, -121.8922328884798",47.56892353,-121.8922329
118,,,,,
119,,,,,
120,,,,,
121,Ravensdale Park,SE Kent Kangley Rd and 272nd Ave S Ravensdale WA 98051,"47.3591856046186, -121.98185763266704",47.3591856,-121.9818576
122,,,,,
123,Redmond Ridge Park,22915 NE Alder Crest Dr Redmond WA 98053,"47.691287210075345, -122.03419759588013",47.69128721,-122.0341976
124,,,,,
125,Redmond Watershed Addition Park,NE 133rd St and 211th Pl NE Woodinville WA 98072,"47.71902192965161, -122.05701165963838",47.71902193,-122.0570117
126,,,,,
127,Renton Park,130th Place SE and SE 172nd Renton WA 98058,"47.45171180402974, -122.16613894305846",47.4517118,-122.1661389
128,,,,,
129,,,,,
130,,,,,
131,Sierra Heights Park,SE 100th St and 128th SE Renton WA 98059,"47.51380644987212, -122.16993471731776",47.51380645,-122.1699347
132,Sixty Acres Park,NE 116th St and 154th Pl NE Redmond WA 98052,"47.70492801842809, -122.13383494429546",47.70492802,-122.1338349
133,Skyway Park,S 120th Pl and 70th Pl S Seattle WA 98178,"47.49463751105612, -122.24537193266205",47.49463751,-122.2453719
134,,,,,
135,Soaring Eagle Regional Park,25992 NE 8th St Sammamish WA 98053,"47.61562361981618, -121.9953610308064",47.61562362,-121.995361
136,,,,,
137,,,,,
138,,,,,
139,South County Ballfields,S 358th St and Military Road S Auburn WA 98001,"47.28086612781146, -122.27420150198292",47.28086613,-122.2742015
140,Spring Lake/Lake Desire Park,18356 West Spring Lake Dr Renton WA 98059,"47.43786000126371, -122.09323994430528",47.43786,-122.0932399
141,Squak Mt/Tiger Mt Corridor,SE 111th St and Issaquah-Hobart Rd Issaquah WA 98027,"47.503325019016906, -122.02256190197465",47.50332502,-122.0225619
142,Steve Cox Memorial Park,1321 SW 102nd St Seattle WA 98146,"47.51189564584118, -122.35207790197433",47.51189565,-122.3520779
143,,,,,
144,,,,,
145,Tanner Landing Park,433rd Ave SE and SE Mt. Si Rd North Bend WA 98045,"47.48322104608154, -121.75597405964717",47.48322105,-121.7559741
146,,,,,
147,,,,,
148,Tollgate Farm,900 North Bend Blvd N North Bend WA 98045,"47.50343103152042, -121.7938687308105",47.50343103,-121.7938687
149,Tolt River - John MacDonald Park,31020 NE 40th St Carnation WA 98014,"47.644431459480366, -121.92171456149241",47.64443146,-121.9217146
150,,,,,
151,,,,,
152,,,,,
153,,,,,
154,White Center Heights Park,SW 102nd St and 7th Ave SW Seattle WA 98146,"47.51217580495755, -122.34370157498965",47.5121758,-122.3437016
155,,,,,
156,Whitney Bridge Park,SE Green Valley Rd and 218th Ave SE Auburn WA 98092,"47.28379777557216, -122.05335401732626",47.28379778,-122.053354
157,,,,,
