ID,Address,Combined ,Lat,Long
46,6800 Fort Dent Way to 104th Ave SE and SE 316th St Tukwila WA 98168,"47.47716346926932, -122.25949986578894",47.47716347,-122.2594999
47,SE 256th St and Lake Wilderness Dr. SE to SE 288th St and Hwy 169 Maple Valley WA 98038,"47.351187465176956, -122.01980430009633",47.35118747,-122.0198043
48,324th Ave NE and NE 11th St Carnation WA 98014,"47.618585668654234, -121.90876507363134",47.61858567,-121.9087651
49,Auburn Black Diamond Rd and SE Green Valley Rd Auburn WA 98092,"47.30182223744686, -122.17710877384317",47.30182224,-122.1771088
50,S 259th St and Green River Rd Kent WA 98058,"47.29505448150266, -122.68577003760194",47.29505448,-122.68577
51,"Access is off of SE 352nd St, Cumberland WA 98022","47.285057896314434, -121.93820810883102",47.2850579,-121.9382081
52,SW 265th St east of Vashon Hwy SW Vashon WA 98070,"46.775317395315895, -121.74419554438825",46.7753174,-121.7441955
53,Upper Preston Rd SE and 324th Pl SE Preston WA 98027,"47.50801591416877, -121.90921878904933",47.50801591,-121.9092188
54,SW 188th St and 115th Ave SW Vashon WA 98070,"47.43843999054749, -122.47205350443978",47.43843999,-122.4720535
55,,,,
56,E Lake Sammamish Pkwy SE and N Front St to Highlands Dr SE and E Sunset Way Issaquah WA 98027,"47.53804027782255, -122.01317615781123",47.53804028,-122.0131762
57,Holmes Point Dr NE and Juanita Dr NE Kirkland WA 98034,"47.728449305465595, -122.244073804245",47.72844931,-122.2440738
58,NE 118th St and Juanita Drive NE Kirkland WA 98034,"47.72542489993533, -122.23362064024032",47.7254249,-122.2336206
59,232nd Ave NE and NE 140th St Redmond WA 98077,"47.72544841640676, -122.02896406562247",47.72544842,-122.0289641
60,216401 S 300th St Black Diamond WA 98042,"47.3344423607513, -122.05150288598354",47.33444236,-122.0515029
61,116th Ave NE at NE 140th Kingsgate WA 98034,"47.72652123867263, -122.18657501959063",47.72652124,-122.186575
62,SE 32nd St and 249th Ave SE to Issaquah Fall City Rd and 252nd Ave SE Issaquah WA 98029,"47.57668507020778, -122.00746100328641",47.57668507,-122.007461
63,24400 SE 200th St Maple Valley WA 98038,"47.423395295855315, -122.01563153513746",47.4233953,-122.0156315
64,46th Ave S and 344th St Federal Way WA 98001,"47.29384200837016, -122.27607602781733",47.29384201,-122.276076
65,10911 E Lake Joy Rd NE Carnation WA 98014,"47.69606715663235, -121.86305068892324",47.69606716,-121.8630507
66,SE 200th and 148th Ave SE Kent WA 98058,"47.427924683323965, -122.14484474201343",47.42792468,-122.1448447
67,SE 184th St and Old Petrovitsky Rd to SE 224th St and 164th Ave SE Renton WA 98058,"47.43932868615088, -122.11912038909502",47.43932869,-122.1191204
68,Kanaskat Kangley Rd SE and SE 296th St Kanaskat WA 98051,"47.37533855650579, -121.97499344204819",47.37533856,-121.9749934
69,SE 253rd St and Landsburg Rd SE Ravensdale WA 98038,"47.374795241910505, -121.97225193516984",47.37479524,-121.9722519
70,276 Ave SE and SE 224th St Maple Valley WA 98038,"47.40173675420453, -121.97351043515218",47.40173675,-121.9735104
71,14925 Cedar Grove Road SE Maple Valley WA 98027,"47.469626647728944, -122.02802047320091",47.46962665,-122.0280205
72,NE 103rd St and 188th Ave NE Redmond WA 98052,"48.449339831919545, -120.15733874344107",48.44933983,-120.1573387
73,212th Ave SE and SE 370th St Black Diamond WA 98092,"47.27130024173792, -121.94131907017024",47.27130024,-121.9413191
74,Manzanita Beach Rd SW & SW 280th Ln Vashon WA 98070,"47.354129048000566, -122.47581707781168",47.35412905,-122.4758171
75,188th Ave SE and SE 164th St Maple Valley WA 98058,"47.45623522482536, -122.09016616580311",47.45623522,-122.0901662
76,"164th Ave Se, Renton, WA 98058","47.45341403065341, -122.1197397367076",47.45341403,-122.1197397
77,SE 138th St and 144th Ave SE Renton WA 98059,"47.48028879773311, -122.148125704412",47.4802888,-122.1481257
78,,,,
79,,,,
80,176th Ave NE and NE 65th St Redmond WA 98052,"47.662779765055134, -122.10871974387454",47.66277977,-122.1087197
81,"8215 SW 260th St Vashon, WA 98070","47.3719810402561, -122.44326305845287",47.37198104,122.4432631
82,5405 SW 244th St Vashon WA 98070,"47.382802952593565, -122.40391546585215",47.38280295,-122.4039155
83,NE 31st St and Jones Ave NE Renton WA 98056,"47.52146412503822, -122.19612449644677",47.52146413,-122.1961245
84,"Just north of 11205 SE May Valley Rd., Renton, WA 98059","47.503383507002745, -122.12224129645934",47.50338351,-122.1222413
85,174th Ave SE and SE 164th St Renton WA 98058,"47.45625842449241, -122.09139046580306",47.45625842,-122.0913905
86,123rd Avenue SE and SE 236th Street Kent WA 98031,"47.39102827696295, -122.17785203515868",47.39102828,-122.177852
87,Bear Creek Rd NE and NE 132nd St to 204th Pl NE and NE 146th St Redmond WA 98077,"47.72487370571098, -122.069621642293",47.72487371,-122.0696216
88,SE Middle Fork Rd and SE 116th St North Bend WA 98045,"47.548567698915264, -121.53731189642875",47.5485677,-121.5373119
89,SE 156th St and 240th Ave SE Issaquah WA 98027,"47.46346937053521, -122.06827781182938",47.46346937,-122.0682778
90,256th Ave SE and SE 152nd St Issaquah WA 98027,"47.46584635778231, -121.99814608848371",47.46584636,-121.9981461
91,SE 56th St and 284th Ave SE Issaquah WA 98027,"47.55424347616771, -121.93390751505581",47.55424348,-121.9339075
92,10902 NE Moss Lake Rd Carnation WA 98014,"47.692445169200255, -121.85316301521037",47.69244517,-121.853163
93,202nd Ave SE and SE Maxwell Rd Maple Valley WA 98038,"47.41535231132647, -122.01511599258332",47.41535231,-122.015116
94,24975 Frager Road S Kent WA 98032,"47.378589135665514, -122.25975545779984",47.37858914,-122.2597555
95,125th Pl SW & SW 300th St Vashon WA 98070,"47.331774316254844, -122.49194218522786",47.33177432,-122.4919422
96,Green River Rd S and SE 268th Kent WA 98031,"47.36293855282889, -122.21690652526206",47.36293855,-122.2169065
97,SW Northilla Rd & 101st Ave Sw Vashon WA 98070,"47.34389628727191, -122.46256280796888",47.34389629,-122.4625628
98,SE 231st and 120th Ave SE Kent WA 98058,"47.39472304994651, -122.18139270197861",47.39472305,-122.1813927
99,14600 NE 145th St Woodinville WA 98072,"47.73307299706574, -122.14695518847383",47.733073,-122.1469552
100,SW 102nd St and 24th Ave SW Seattle WA 98146,"47.51201939207638, -122.36309972895894",47.51201939,-122.3630997
101,228th Ave NE and NE Novelty Hill Rd Redmond WA 98053,"47.69656990315423, -122.03455263754783",47.6965699,-122.0345526
102,NE 198th St and 204th Ave NE Woodinville WA 98077,"47.77078751772663, -122.06408195963652",47.77078752,-122.064082
103,SW 212th Pl and 111th Ave SW Vashon WA 98070,"47.41439926253822, -122.47640168848562",47.41439926,-122.4764017
104,11058 SE 230th St Kent WA 98058,"47.39689992828539, -122.19333928029793",47.39689993,-122.1933393
105,26201 NE Redmond-Fall City Rd Sammamish WA 98053,"47.62759831537506, -121.99147018847766",47.62759832,-121.9914702
106,SE Petrovitsky Rd and 196th Ave SE Renton WA 98058,"47.42296357577313, -122.08321694615704",47.42296358,-122.0832169
107,16400 Petrovitsky Rd SE Renton WA 98058,"47.44132678931009, -122.11973099033585",47.44132679,-122.119731
108,SW 288th St and 94th Ave SW Vashon WA 98070,"47.34412902102493, -122.45307539262532",47.34412902,-122.4530754
109,SE 276th and 472nd SE Enumclaw WA 98022,"47.17843003380801, -121.97306864114628",47.17843003,-121.9730686
110,51st Ave S and S 309th St Auburn WA 98001,"47.326629625224314, -122.28032191711094",47.32662963,-122.2803219
111,Preston Fall City Rd SE and SE 87th Pl Preston WA 98027,"47.52266659904139, -121.93440892895862",47.5226666,-121.9344089
