"year","leaid","lea_name","state_name","city_location","zip_location","latitude","longitude","county_name","agency_type","enrollment","est_population_5_17_poverty","est_population_5_17_poverty_pct","read_test_pct_prof_midpt","math_test_pct_prof_midpt","rev_total","salaries_total"
"2015","5301710","Cosmopolis School District","Washington","COSMOPOLIS","98537","46.952729","-123.771836","Grays Harbor County","Regular local school district","148","42","0.130031","52","47","2487000","1018000"
"2015","5301800","Coupeville School District","Washington","COUPEVILLE","98239","48.206874","-122.685366","Island County","Regular local school district","949","209","0.200384","68","45","14003000","6407000"
"2015","5301830","Crescent School District","Washington","JOYCE","98343","48.136192","-123.746459","Clallam County","Regular local school district","272","99","0.273481","57","37","3845000","2102000"
"2015","5301860","Creston School District","Washington","CRESTON","99117","47.755146","-118.519992","Lincoln County","Regular local school district","93","12","0.129032","64.5","44.5","2487000","1275000"
"2015","5301890","Curlew School District","Washington","CURLEW","99118","48.87442","-118.604473","Ferry County","Regular local school district","171","41","0.219251","47","37","3081000","1624000"
"2015","5301920","Cusick School District","Washington","CUSICK","99119","48.33707","-117.298875","Pend Oreille County","Regular local school district","239","89","0.28344","47","27","3780000","1997000"
"2015","5301950","Damman School District","Washington","ELLENSBURG","98926","46.962","-120.5699","Kittitas County","Regular local school district","40","9","0.057692","69.5","69.5","675000","209000"
"2015","5301980","Darrington School District","Washington","DARRINGTON","98241","48.24775","-121.601221","Snohomish County","Regular local school district","428","76","0.131488","52","34","6713000","3599000"
"2015","5302010","Davenport School District","Washington","DAVENPORT","99122","47.6488","-118.1506","Lincoln County","Regular local school district","598","110","0.186441","69","60","8456000","3995000"
"2015","5302040","Dayton School District","Washington","DAYTON","99328","46.316706","-117.975102","Columbia County","Regular local school district","399","120","0.220183","66","52","5879000","2935000"
"2015","5302070","Deer Park School District","Washington","DEER PARK","99006","47.958689","-117.476102","Spokane County","Regular local school district","2500","474","0.219241","65","48","28746000","14592000"
"2015","5302130","Dieringer School District","Washington","Lake Tapps","98391","47.245882","-122.193695","Pierce County","Regular local school district","1556","135","0.074094","77","75","23479000","10426000"
"2015","5302160","Dixie School District","Washington","DIXIE","99329","46.141838","-118.149722","Walla Walla County","Regular local school district","28","15","0.227273","24.5","24.5","833000","321000"
"2015","5302280","East Valley School District (Spokane)","Washington","SPOKANE","99216","47.69237","-117.195511","Spokane County","Regular local school district","4311","949","0.201145","58","41","52347000","28914000"
"2015","5302310","Eastmont School District","Washington","EAST WENATCHEE","98802","47.41715","-120.282351","Douglas County","Regular local school district","5965","1057","0.177498","61","44","71838000","37038000"
"2015","5302340","Easton School District","Washington","EASTON","98925","47.236652","-121.176769","Kittitas County","Regular local school district","113","11","0.076923","44.5","34.5","2862000","1283000"
"2015","5302370","Eatonville School District","Washington","EATONVILLE","98328","46.870383","-122.267848","Pierce County","Regular local school district","1950","153","0.069356","53","38","23916000","11957000"
"2015","5302400","Edmonds School District","Washington","LYNNWOOD","98036","47.813488","-122.326125","Snohomish County","Regular local school district","21021","2659","0.108664","68","55","306524000","154832000"
"2015","5302460","Ellensburg School District","Washington","ELLENSBURG","98926","46.994852","-120.528157","Kittitas County","Regular local school district","3257","523","0.161869","57","45","40331000","19169000"
"2015","5302490","Elma School District","Washington","ELMA","98541","47.004164","-123.433935","Grays Harbor County","Regular local school district","1426","307","0.204394","53","38","18321000","9600000"
"2015","5302520","Endicott School District","Washington","ENDICOTT","99125","46.932969","-117.690354","Whitman County","Regular local school district","102","14","0.191781","57","47","2657000","1287000"
"2015","5302550","Entiat School District","Washington","ENTIAT","98822","47.664444","-120.225939","Chelan County","Regular local school district","343","59","0.15285","47","32","6618000","2427000"
"2015","5302610","Ephrata School District","Washington","EPHRATA","98823","47.3262","-119.5504","Grant County","Regular local school district","2414","454","0.180087","61","53","27808000","15701000"
"2015","5302640","Evaline School District","Washington","WINLOCK","98596","46.539207","-122.938992","Lewis County","Regular local school district","50","26","0.181818","69.5","49.5","864000","290000"
"2015","5302670","Everett School District","Washington","EVERETT","98201","47.965867","-122.201048","Snohomish County","Regular local school district","19923","2826","0.127475","72","58","275263000","142807000"
"2015","5302700","Evergreen School District (Clark)","Washington","VANCOUVER","98668","45.6409","-122.5333","Clark County","Regular local school district","26015","4227","0.147431","59","48","330846000","172392000"
"2015","5302730","Evergreen School District (Stevens)","Washington","GIFFORD","99131","48.310597","-118.137255","Stevens County","Regular local school district","25","24","0.328767","75","75","545000","238000"
"2015","5302820","Federal Way School District","Washington","FEDERAL WAY","98003","47.30477","-122.324891","King County","Regular local school district","23039","3634","0.142527","53","37","310014000","158314000"
"2015","5302850","Ferndale School District","Washington","FERNDALE","98248","48.86088","-122.603781","Whatcom County","Regular local school district","4829","814","0.138013","54","43","62131000","34182000"
"2015","5302880","Fife School District","Washington","TACOMA","98424","47.238911","-122.351855","Pierce County","Regular local school district","3692","525","0.142392","60","47","45286000","23137000"
"2015","5302910","Finley School District","Washington","KENNEWICK","99337","46.1537","-119.0294","Benton County","Regular local school district","912","143","0.130713","34","22","11589000","6383000"
"2015","5302940","Franklin Pierce School District","Washington","TACOMA","98444","47.140711","-122.436777","Pierce County","Regular local school district","7737","1731","0.204055","53","38","108723000","54206000"
"2015","5302970","Freeman School District","Washington","ROCKFORD","99030","47.516781","-117.195116","Spokane County","Regular local school district","900","77","0.089431","75","63","11338000","5396000"
"2015","5303000","Garfield School District","Washington","GARFIELD","99130","47.01343","-117.140129","Whitman County","Regular local school district","116","11","0.090164","74.5","54.5","2682000","1399000"
"2015","5303030","Glenwood School District","Washington","GLENWOOD","98619","46.021323","-121.289966","Klickitat County","Regular local school district","66","6","0.1","44.5","34.5","2134000","1033000"
"2015","5303090","Goldendale School District","Washington","GOLDENDALE","98620","45.817728","-120.813606","Klickitat County","Regular local school district","944","265","0.250236","50","42","12255000","6473000"
"2015","5303130","Grand Coulee Dam School District","Washington","COULEE DAM","99116","47.9621","-118.9863","Douglas County","Regular local school district","722","91","0.147249","39","33","10353000","5461000"
"2015","5303150","Grandview School District","Washington","GRANDVIEW","98930","46.25515","-119.914989","Yakima County","Regular local school district","3707","911","0.243844","38","33","43103000","20950000"
"2015","5303180","Granger School District","Washington","GRANGER","98932","46.3485","-120.1883","Yakima County","Regular local school district","1521","423","0.265204","31","27","19112000","9496000"
"2015","5303210","Granite Falls School District","Washington","GRANITE FALLS","98252","48.08459","-121.963361","Snohomish County","Regular local school district","2061","205","0.078095","56","33","27993000","13667000"
"2015","5303240","Grapeview School District","Washington","GRAPEVIEW","98546","47.320021","-122.916703","Mason County","Regular local school district","229","48","0.173285","67","42","4445000","1245000"
"2015","5303270","Great Northern School District","Washington","SPOKANE","99224","47.686532","-117.518727","Spokane County","Regular local school district","44","20","0.155039","49.5","49.5","711000","312000"
"2015","5303300","Green Mountain School District","Washington","WOODLAND","98674","45.948158","-122.539124","Clark County","Regular local school district","158","17","0.094444","62","32","1885000","893000"
"2015","5303330","Griffin School District","Washington","OLYMPIA","98502","47.080628","-123.018855","Thurston County","Regular local school district","663","86","0.096089","70","60","9990000","4271000"
"2015","5303360","Harrington School District","Washington","HARRINGTON","99134","47.479089","-118.250926","Lincoln County","Regular local school district","83","24","0.192","44.5","34.5","2731000","1392000"
"2015","5303440","Coulee-Hartline School District","Washington","COULEE CITY","99115","47.613694","-119.293752","Grant County","Regular local school district","170","47","0.232673","54.5","54.5","3823000","1771000"
"2015","5303510","Highland School District","Washington","COWICHE","98923","46.674805","-120.712021","Yakima County","Regular local school district","1167","238","0.182236","49","43","15141000","8133000"
"2015","5303540","Highline School District","Washington","BURIEN","98166","47.46228","-122.337961","King County","Regular local school district","19545","3780","0.179147","49","41","279234000","143663000"
"2015","5303570","Hockinson School District","Washington","BRUSH PRAIRIE","98606","45.7377","-122.4887","Clark County","Regular local school district","1874","133","0.063454","69","55","22333000","10323000"
"2015","5303600","Hood Canal School District","Washington","SHELTON","98584","47.3336","-123.1604","Mason County","Regular local school district","312","181","0.287758","32","32","6642000","2710000"
"2015","5303660","Hoquiam School District","Washington","HOQUIAM","98550","46.9803","-123.8885","Grays Harbor County","Regular local school district","1699","475","0.271584","42","28","21851000","11014000"
"2015","5303720","Index School District","Washington","INDEX","98256","47.820669","-121.555052","Snohomish County","Regular local school district","44","3","0.071429","69.5","49.5","868000","450000"
"2015","5303750","Issaquah School District","Washington","ISSAQUAH","98027","47.536704","-122.045164","King County","Regular local school district","19951","725","0.034447","82","77","270251000","121669000"
"2015","5303780","Kahlotus School District","Washington","KAHLOTUS","99335","46.6412","-118.557385","Franklin County","Regular local school district","47","12","0.146341","","24.5","2032000","1116000"
"2015","5303810","Kalama School District","Washington","KALAMA","98625","46.00796","-122.838133","Cowlitz County","Regular local school district","925","118","0.106787","57","46","10132000","4350000"
"2015","5303870","Keller School District","Washington","KELLER","99140","48.0785","-118.6878","Ferry County","Regular local school district","32","37","0.486842","24.5","24.5","1110000","395000"
"2015","5303930","Kennewick School District","Washington","KENNEWICK","99336","46.20635","-119.133271","Benton County","Regular local school district","17795","3249","0.177541","59","43","254524000","107426000"
"2015","5303960","Kent School District","Washington","KENT","98031","47.37121","-122.179584","King County","Regular local school district","27738","4110","0.130431","60","50","355302000","198606000"
"2015","5303990","Kettle Falls School District","Washington","KETTLE FALLS","99141","48.606288","-118.055887","Stevens County","Regular local school district","912","181","0.231162","58","38","10350000","5340000"
"2015","5304020","Kiona-Benton City School District","Washington","BENTON CITY","99320","46.2635","-119.490861","Benton County","Regular local school district","1481","421","0.233889","38","26","19211000","10108000"
"2015","5304050","Kittitas School District","Washington","KITTITAS","98934","46.987193","-120.418994","Kittitas County","Regular local school district","661","112","0.149733","53","48","8319000","4109000"
"2015","5304080","Klickitat School District","Washington","KLICKITAT","98628","45.816358","-121.15365","Klickitat County","Regular local school district","76","23","0.294872","54.5","34.5","3092000","1166000"
"2015","5304110","La Conner School District","Washington","LA CONNER","98257","48.3937","-122.4905","Skagit County","Regular local school district","627","95","0.158598","57","45","14342000","5821000"
"2015","5304150","LaCrosse School District","Washington","LACROSSE","99143","46.815003","-117.874435","Whitman County","Regular local school district","70","23","0.221154","64.5","44.5","2849000","1403000"
"2015","5304170","La Center School District","Washington","LA CENTER","98629","45.865106","-122.657613","Clark County","Regular local school district","1647","126","0.068966","63","48","18349000","9548000"
"2015","5304200","Lake Stevens School District","Washington","LAKE STEVENS","98258","48.017489","-122.064323","Snohomish County","Regular local school district","8580","701","0.079075","71","61","100522000","55449000"
"2015","5304230","Lake Washington School District","Washington","REDMOND","98052","47.670916","-122.12347","King County","Regular local school district","27886","1333","0.043159","85","78","385982000","173577000"
"2015","5304260","Lakewood School District","Washington","NORTH LAKEWOOD","98259","48.151278","-122.208282","Snohomish County","Regular local school district","2318","265","0.099812","55","45","31178000","15385000"
"2015","5304290","Lamont School District","Washington","LAMONT","99017","47.203578","-117.900653","Whitman County","Regular local school district","32","8","0.275862","49.5","30","805000","405000"
"2015","5304380","Liberty School District","Washington","SPANGLE","99031","47.382092","-117.321583","Spokane County","Regular local school district","446","74","0.095979","69","50","6750000","3224000"
"2015","5304410","Lind School District","Washington","Lind","99341","46.973353","-118.618066","Adams County","Regular local school district","191","49","0.182156","52","32","4538000","1927000"
"2015","5304470","Longview School District","Washington","LONGVIEW","98632","46.142152","-122.955621","Cowlitz County","Regular local school district","6872","1689","0.231433","49","36","86376000","43877000"
"2015","5304500","Loon Lake School District","Washington","LOON LAKE","99148","48.062585","-117.630529","Stevens County","Regular local school district","226","32","0.135021","32","22","1974000","911000"
"2015","5304530","Lopez School District","Washington","LOPEZ ISLAND","98261","48.492136","-122.897935","San Juan County","Regular local school district","242","62","0.284404","57","37","5071000","2150000"
"2015","5304560","Riverview School District","Washington","DUVALL","98019","47.74033","-121.984641","King County","Regular local school district","3277","229","0.056265","74","60","43082000","21394000"
"2015","5304590","Lyle School District","Washington","LYLE","98635","45.694116","-121.280281","Klickitat County","Regular local school district","251","72","0.181818","42","32","4381000","1951000"
"2015","5304620","Lynden School District","Washington","LYNDEN","98264","48.953185","-122.428161","Whatcom County","Regular local school district","3082","332","0.091713","70","59","34925000","18648000"
"2015","5304650","Mabton School District","Washington","MABTON","98935","46.214322","-119.996739","Yakima County","Regular local school district","958","261","0.272443","26","14","11409000","6061000"
"2015","5304710","Mansfield School District","Washington","MANSFIELD","98830","47.816395","-119.643627","Douglas County","Regular local school district","97","10","0.138889","44.5","44.5","2271000","1175000"
"2015","5304740","Manson School District","Washington","MANSON","98831","47.8828","-120.1512","Chelan County","Regular local school district","668","118","0.161866","34","23","9666000","4912000"
"2015","5304800","Mary M Knight School District","Washington","ELMA","98541","47.19933","-123.432421","Mason County","Regular local school district","157","50","0.209205","47","27","3210000","1653000"
"2015","5304830","Mary Walker School District","Washington","SPRINGDALE","99173","48.059827","-117.746092","Stevens County","Regular local school district","484","137","0.232598","55","43","11220000","3507000"
"2015","5304860","Marysville School District","Washington","MARYSVILLE","98270","48.06788","-122.173361","Snohomish County","Regular local school district","11249","1439","0.106051","52","39","154819000","85319000"
"2015","5304890","McCleary School District","Washington","MCCLEARY","98557","47.04924","-123.265739","Grays Harbor County","Regular local school district","308","115","0.234216","52","32","4452000","1932000"
"2015","5304920","Mead School District","Washington","MEAD","99021","47.77308","-117.375681","Spokane County","Regular local school district","9872","1077","0.102037","72","63","114265000","63975000"
"2015","5304950","Medical Lake School District","Washington","MEDICAL LAKE","99022","47.576","-117.6832","Spokane County","Regular local school district","1909","197","0.098205","70","52","22281000","11981000"
