"variable","label","description","source","source2"
"ncessch","National Center for Education Statistics (NCES) identification number","","Common Core of Data",""
"school_name","School name","","Common Core of Data",""
"lea_name","Local education agency name","Name of the local education agency (school district)","Common Core of Data",""
"zip_location","Zip code of location","","Common Core of Data",""
"latitude","Latitude of institution","","Common Core of Data",""
"longitude","Longitude of institution","","Common Core of Data",""
"county_code","County code","","Common Core of Data",""
"school_level","School level","","Common Core of Data",""
"school_type","School type","","Common Core of Data",""
