,year,ncessch,school_name,state_name,lea_name,zip_location,latitude,longitude,county_code,school_level,school_type
184,2015,530375002567,Skyline High School,Washington,Issaquah School District,98075,47.600062,-122.032025,53033.0,High,Regular school
185,2015,530375002881,Cascade Ridge Elementary,Washington,Issaquah School District,98075,47.591299,-121.973026,53033.0,Primary,Regular school
186,2015,530375002981,Newcastle Elementary School,Washington,Issaquah School District,98059,47.526019,-122.16014399999999,53033.0,Primary,Regular school
187,2015,530375003067,Grand Ridge Elementary,Washington,Issaquah School District,98029,47.546825,-122.004374,53033.0,Primary,Regular school
188,2015,530375003167,Issaquah Head Start,Washington,Issaquah School District,98059,47.497245,-122.13900500000001,53033.0,Primary,Regular school
189,2015,530375003331,Creekside Elementary,Washington,Issaquah School District,98075,47.594590000000004,-122.0637,53033.0,Primary,Regular school
190,2015,530375003337,Pacific Cascade Middle School,Washington,Issaquah School District,98029,47.5594,-122.01141100000001,53033.0,Middle,Regular school
234,2015,530423000656,Bell Elementary,Washington,Lake Washington School District,98033,47.701687,-122.191965,53033.0,Primary,Regular school
235,2015,530423000657,Audubon Elementary,Washington,Lake Washington School District,98052,47.637368,-122.10141599999999,53033.0,Primary,Regular school
236,2015,530423000658,Franklin Elementary,Washington,Lake Washington School District,98033,47.662154,-122.173419,53033.0,Primary,Regular school
237,2015,530423000659,Rush Elementary,Washington,Lake Washington School District,98052,47.661762,-122.13876299999998,53033.0,Primary,Regular school
238,2015,530423000660,Sandburg Elementary,Washington,Lake Washington School District,98034,47.715934999999995,-122.23045800000001,53033.0,Primary,Regular school
239,2015,530423000661,Dickinson Elementary,Washington,Lake Washington School District,98053,47.670079,-122.059998,53033.0,Primary,Regular school
240,2015,530423000663,Finn Hill Middle School,Washington,Lake Washington School District,98034,47.719941999999996,-122.23260900000001,53033.0,Middle,Regular school
241,2015,530423000664,Ready Start Preschool,Washington,Lake Washington School District,98052,47.68761,-122.13918600000001,53033.0,Primary,Regular school
242,2015,530423000666,Keller Elementary,Washington,Lake Washington School District,98034,47.724758,-122.195598,53033.0,Primary,Regular school
243,2015,530423000667,Mann Elementary,Washington,Lake Washington School District,98052,47.691736,-122.112917,53033.0,Primary,Regular school
244,2015,530423000668,Muir Elementary,Washington,Lake Washington School District,98034,47.726838,-122.163253,53033.0,Primary,Regular school
245,2015,530423000669,Juanita Elementary,Washington,Lake Washington School District,98034,47.717901,-122.20926399999999,53033.0,Primary,Regular school
246,2015,530423000670,Juanita High,Washington,Lake Washington School District,98034,47.715169,-122.19881399999998,53033.0,High,Regular school
247,2015,530423000671,Kamiakin Middle School,Washington,Lake Washington School District,98034,47.727387,-122.165523,53033.0,Middle,Regular school
248,2015,530423000672,Kirkland Middle School,Washington,Lake Washington School District,98033,47.690694,-122.200745,53033.0,Middle,Regular school
249,2015,530423000673,Community School,Washington,Lake Washington School District,98033,47.663806,-122.19082399999999,53033.0,Primary,Other/alternative school
250,2015,530423000674,Lake Washington High,Washington,Lake Washington School District,98033,47.673218,-122.18038,53033.0,High,Regular school
251,2015,530423000675,Lakeview Elementary,Washington,Lake Washington School District,98033,47.667443,-122.20009499999999,53033.0,Primary,Regular school
252,2015,530423000676,Twain Elementary,Washington,Lake Washington School District,98033,47.686886,-122.169389,53033.0,Primary,Regular school
253,2015,530423000677,Kirk Elementary,Washington,Lake Washington School District,98033,47.685901,-122.195788,53033.0,Primary,Regular school
254,2015,530423000678,Redmond Elementary,Washington,Lake Washington School District,98052,47.675503000000006,-122.11642900000001,53033.0,Primary,Regular school
255,2015,530423000679,Redmond High,Washington,Lake Washington School District,98052,47.695202,-122.10661599999999,53033.0,High,Regular school
256,2015,530423000680,Redmond Middle School,Washington,Lake Washington School District,98052,47.691897,-122.11979099999999,53033.0,Middle,Regular school
257,2015,530423000681,Frost Elementary,Washington,Lake Washington School District,98034,47.725144,-122.18392,53033.0,Primary,Regular school
258,2015,530423000682,Rose Hill Elementary,Washington,Lake Washington School District,98033,47.676659,-122.16863899999998,53033.0,Primary,Regular school
259,2015,530423000683,Rose Hill Middle School,Washington,Lake Washington School District,98052,47.670766,-122.15993,53033.0,Middle,Regular school
260,2015,530423000684,Thoreau Elementary,Washington,Lake Washington School District,98034,47.724803,-122.230654,53033.0,Primary,Regular school
261,2015,530423001141,Eastlake High School,Washington,Lake Washington School District,98074,47.613559,-122.031221,53033.0,High,Regular school
262,2015,530423001598,Contractual Schools,Washington,Lake Washington School District,98052,47.670916,-122.12347,53033.0,Other,Other/alternative school
263,2015,530423001784,Emerson High School,Washington,Lake Washington School District,98033,47.65534,-122.19556599999999,53033.0,High,Other/alternative school
264,2015,530423001785,Mead Elementary,Washington,Lake Washington School District,98074,47.625459,-122.053101,53033.0,Primary,Regular school
265,2015,530423001841,Evergreen Middle School,Washington,Lake Washington School District,98053,47.66753,-122.06077900000001,53033.0,Middle,Regular school
266,2015,530423001842,Rockwell Elementary,Washington,Lake Washington School District,98052,47.699443,-122.124705,53033.0,Primary,Regular school
267,2015,530423001843,Northstar Middle School,Washington,Lake Washington School District,98033,47.65529,-122.195551,53033.0,Middle,Other/alternative school
268,2015,530423002062,Alcott Elementary,Washington,Lake Washington School District,98053,47.646809000000005,-122.03756000000001,53033.0,Primary,Regular school
269,2015,530423002216,Smith Elementary,Washington,Lake Washington School District,98074,47.620907,-122.02728,53033.0,Primary,Regular school
270,2015,530423002257,Wilder Elementary,Washington,Lake Washington School District,98077,47.719525,-122.041494,53033.0,Primary,Regular school
271,2015,530423002311,Mcauliffe Elementary,Washington,Lake Washington School District,98074,47.628685,-122.020843,53033.0,Primary,Regular school
272,2015,530423002435,Inglewood Middle School,Washington,Lake Washington School District,98074,47.618559999999995,-122.01791100000001,53033.0,Middle,Regular school
273,2015,530423002448,Discovery School,Washington,Lake Washington School District,98034,47.715924,-122.23046699999999,53033.0,Primary,Other/alternative school
274,2015,530423002519,Explorer Community School,Washington,Lake Washington School District,98053,47.67004,-122.059995,53033.0,Primary,Other/alternative school
275,2015,530423002568,International Community School,Washington,Lake Washington School District,98033,47.663806,-122.19082399999999,53033.0,Other,Other/alternative school
276,2015,530423002648,Einstein Elementary,Washington,Lake Washington School District,98052,47.701889,-122.098297,53033.0,Primary,Regular school
277,2015,530423002649,Blackwell Elementary,Washington,Lake Washington School District,98074,47.638814,-122.067025,53033.0,Primary,Regular school
278,2015,530423002725,Emerson K-12,Washington,Lake Washington School District,98033,47.65529,-122.195551,53033.0,Other,Other/alternative school
279,2015,530423002726,Environmental & Adventure School,Washington,Lake Washington School District,98034,47.719953000000004,-122.23259399999999,53033.0,Middle,Other/alternative school
280,2015,530423002727,Futures School,Washington,Lake Washington School District,98034,47.715169,-122.19881399999998,53033.0,High,Other/alternative school
281,2015,530423002983,Stella Schola,Washington,Lake Washington School District,98052,47.670778000000006,-122.15991000000001,53033.0,Middle,Other/alternative school
282,2015,530423003070,Renaissance School,Washington,Lake Washington School District,98074,47.613559,-122.031221,53033.0,Middle,Other/alternative school
283,2015,530423003077,Rosa Parks Elementary,Washington,Lake Washington School District,98053,47.685004,-122.034768,53033.0,Primary,Regular school
284,2015,530423003242,Carson Elementary,Washington,Lake Washington School District,98074,47.61923,-122.015271,53033.0,Primary,Regular school
285,2015,530423003289,Washington Network for Innovative Careers,Washington,Lake Washington School District,98052,47.70483,-122.16723,53033.0,High,Vocational school
286,2015,530423003432,Tesla STEM High School,Washington,Lake Washington School District,98053,47.64868,-122.037761,53033.0,High,Other/alternative school
300,2015,530498000758,Island Park Elementary,Washington,Mercer Island School District,98040,47.553599,-122.222602,53033.0,Primary,Regular school
301,2015,530498000759,Lakeridge Elementary School,Washington,Mercer Island School District,98040,47.532258,-122.22885500000001,53033.0,Primary,Regular school
302,2015,530498000761,Mercer Island High School,Washington,Mercer Island School District,98040,47.571806,-122.219268,53033.0,High,Regular school
303,2015,530498000764,Islander Middle School,Washington,Mercer Island School District,98040,47.537428000000006,-122.228473,53033.0,Middle,Regular school
304,2015,530498000765,West Mercer Elementary,Washington,Mercer Island School District,98040,47.571435,-122.23106200000001,53033.0,Primary,Regular school
357,2015,530771001102,Pathfinder K-8 School,Washington,Seattle Public Schools,98116,47.565622,-122.39688000000001,53033.0,Primary,Other/alternative school
358,2015,530771001127,Adams Elementary School,Washington,Seattle Public Schools,98107,47.673535,-122.39190500000001,53033.0,Primary,Regular school
359,2015,530771001129,Alki Elementary School,Washington,Seattle Public Schools,98116,47.577356,-122.407789,53033.0,Primary,Regular school
360,2015,530771001132,Licton Springs K-8,Washington,Seattle Public Schools,98103,47.659909999999996,-122.339891,53033.0,Primary,Other/alternative school
361,2015,530771001135,Arbor Heights Elementary School,Washington,Seattle Public Schools,98106,47.54861,-122.362141,53033.0,Primary,Regular school
362,2015,530771001136,Mercer International Middle School,Washington,Seattle Public Schools,98108,47.564152,-122.31211100000002,53033.0,Middle,Regular school
363,2015,530771001137,Daniel Bagley Elementary School,Washington,Seattle Public Schools,98103,47.686307,-122.34228200000001,53033.0,Primary,Regular school
364,2015,530771001138,Ballard High School,Washington,Seattle Public Schools,98117,47.676893,-122.37453400000001,53033.0,High,Regular school
365,2015,530771001140,Beacon Hill International School,Washington,Seattle Public Schools,98144,47.585017,-122.31537800000001,53033.0,Primary,Regular school
366,2015,530771001143,Martin Luther King Jr. Elementary School,Washington,Seattle Public Schools,98118,47.54198,-122.276781,53033.0,Primary,Regular school
367,2015,530771001145,Broadview-Thomson K-8 School,Washington,Seattle Public Schools,98133,47.72463,-122.35436899999999,53033.0,Primary,Regular school
368,2015,530771001146,Bryant Elementary School,Washington,Seattle Public Schools,98115,47.671702,-122.29204399999999,53033.0,Primary,Regular school
