,min_dist_park
0,1.2666235405340103
1,3.520512817681344
2,0.8314399994448284
3,1.5215566993699836
4,2.3135249790161563
5,2.785126125126604
6,2.625739761222601
7,4.549679548656259
8,0.31288654470454014
9,2.0014368719577664
10,4.478686566831264
11,3.4317194333656103
12,2.0154855176196853
13,2.320995440321598
14,8.05746377616586
15,3.2264402162967207
16,1.1728077709200446
17,6.362119804587418
18,3.2663371115664708
19,1.3474305831557176
20,4.8497078009423795
21,1.857623426098753
22,3.3668250758948015
23,2.474138205018346
24,1.2147790951548878
25,2.8247983889080257
26,6.814627439888407
27,5.407131129169828
28,3.620028130365196
29,1.1203307410630878
30,1.347741803252481
31,5.249154875596758
32,6.585884045342082
33,6.672769582082195
34,0.5686524801259969
35,4.391289028481085
36,1.0844137898398138
37,6.802541656320217
38,0.40456830535403054
39,0.9602606261769988
40,1.4757646338826125
41,4.096657869622444
42,0.9578104407406534
43,7.0470403370663695
44,0.4697702443511675
45,1.5579495125665934
46,4.534557711509765
47,3.58597894451203
48,4.236507567489568
49,2.2925055152582825
50,4.847958926973792
51,1.6673911920051672
52,7.292090464785712
53,6.156426434112004
54,5.03975064743232
55,5.059428299665975
56,2.285725835778281
57,2.6288231956329904
58,3.14125924824041
59,1.1194431286864295
60,4.640580359882307
61,4.700913273428216
62,4.248315754901748
63,5.023417495617509
64,4.767919238810573
65,2.2396741638027002
66,4.152790664585474
67,0.9990760241559119
68,2.2671418183953844
69,5.432704306240586
70,2.490109599051894
71,0.7557818061379646
72,2.1515956171824895
73,1.9605440165904036
74,1.5290169877369952
75,0.6161307779285302
76,4.172440202192364
77,3.750034373294047
78,4.692722175142826
79,1.346404578220664
80,1.3423816644613316
81,1.3904722303258341
82,1.3305654715150355
83,0.0693455917133044
84,3.0674586136395297
85,6.562588494136755
86,4.053275765988237
87,0.16286072824073558
88,0.2590810207705139
89,2.1961315749799906
90,4.330414500294713
91,8.097678238578652
92,3.6137731118466894
93,7.19380077589916
94,
95,4.433214633117555
96,1.2614705567879723
97,4.823549114385228
98,0.9628139741633983
99,1.9604438166492586
100,6.731797348693435
101,6.912346465958197
102,1.171491326454119
103,4.1414279471031845
104,0.6243349046050316
105,0.632089099842991
106,6.916095618308931
107,3.5493589088733777
108,1.4025594802566936
109,1.456619632509128
110,1.9640261037003366
111,5.82859296561321
112,2.157132556800988
113,1.1475667728489674
114,1.8740802600708635
115,6.1313133232178085
116,5.747140448334716
117,0.4497797174262746
118,0.6075159955551986
119,3.1977274196560073
120,7.271013447587494
121,0.4240819641348992
122,5.914171651138393
123,2.2992773011746817
124,1.9258218675345515
125,5.8682610110026285
126,1.0013729984416437
127,4.873862141437854
128,6.178348059136307
129,3.204116797261555
130,4.654714712114189
131,1.698377561033134
132,1.673657077840373
133,1.450622705332688
134,7.377189391011795
135,1.2590189852234295
136,1.1355877139937773
137,2.9748971251324465
138,2.2469307190444883
139,7.459998025183986
140,6.4701536821876475
141,2.3068978359424865
142,0.38999368883067564
143,5.064316592918248
144,2.195002754460914
145,1.158800684362637
146,6.515888027563011
147,0.438137421357899
148,3.4285625047618438
149,5.133580286924434
150,5.930513712052571
151,7.368031992568313
152,1.5414151242623992
153,3.221612856591361
154,4.235193186407176
155,0.530738582065584
156,0.7794286459660328
157,4.560998449174863
158,2.3463078242268645
159,0.9486389990379689
160,1.2420067594931476
161,0.7162257396789433
162,1.6282248978351062
163,0.6325492608955894
164,1.275621009006252
165,0.9467538725553756
166,3.9968293339669465
167,1.913653995011273
168,1.5172407564851298
169,4.2136527651085816
170,1.8834604037848912
171,4.628524980398319
172,5.110037367934081
173,3.5663299740892684
174,1.758612914921804
175,4.626673818671998
176,3.0073685918518165
177,4.60723272867664
178,1.7992623173586688
179,5.311858432239914
180,1.9715614040776495
181,1.9196452966186723
182,1.651035503805765
183,1.438178221878085
184,1.5306015943036193
185,3.6894526371776277
186,4.948757581190127
187,2.239383412623699
188,6.970141004503995
189,2.064889719087439
190,0.20880416282197511
191,1.0785073136203618
192,2.2724543480570576
193,4.814428069087719
194,2.932186183552248
195,3.079295695353335
196,0.5953530849906031
197,2.4921320534832017
198,1.2570555019775105
